Issue Type,Key,Epic Name,Summary,Epic Link,Pilar,Start date,Due date,Fonte,Labels,Components,Sprint,Actual end,Actual start,Description,Pair with,Pairing with,Pairing with,Pairing with,Pairing with...,Checklist Progress,Checklist Progress %,Epic Status,Status,Story Points,Assignee,Team,Priority,parent,Parent Link,Linked Issues,Progress,Resolved,Due date,End date,Resignation date,Fix versions
Task,RVO-6630,,Construçao das métricas,RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Desenvolver os campos calculados e implementar as regras de negócio no Tableau para os KPIs críticos do painel, como ""Potencial da Conta"", ""Volume de Vagas"", ""MRR Atual"", ""Status do Terreno"" e lógicas de ""Risco da Conta"".
* *DoR:* Fontes de dados integradas (RVO-6623 concluída). Regras de cálculo validadas com o time de negócios.
* *DoD:* Todas as métricas validadas no Tableau, retornando valores corretos quando comparados aos relatórios nativos do CRM.",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6629,,Calculadora Dealhub,RVO-4922,,11/05/2026,15/05/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,24,Raphael Fonseca Rodrigues dos Santos,,Medium,RVO-4922,,,0,,,,,
Task,RVO-6628,,CRM Ajuda - Semana 2,,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,5,Raphael Fonseca Rodrigues dos Santos,,Medium,,,,0,,,,,
Task,RVO-6627,,Construção do Bloco ''O que estamos fazendo na conta'' ,RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Criar a seção ""3 O que estamos fazendo na conta"". Inclui o resumo de ""Último touch"", ""Negócios Perdidos/Ganhos"" e ""Próximo passo"". Deve conter também as tabelas detalhadas de ""Engajamento ABM"", ""Última proposta enviada"", o log cronológico de ""Histórico de Negociações"" e as ""Oportunidades Abertas"".
* *DoR:* Tabelas e histórico do CRM cruzados e validados.
* *DoD:* Timeline e tabelas de histórico operando com os filtros de conta corretamente aplicados.",,,,,,,0,,Pronto para Iniciar,4,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6626,,Construção do Bloco ''Visão da conta'',RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Desenvolver a seção ""2 Visão da conta"". Contempla os cards de ""Status Geral"", ""Risco da Conta"", ""Inadimplência"" e ""MRR"". Além disso, deve estruturar o detalhamento de ""Motivos de risco"", métricas de ""Tickets em CS"" e as caixas de texto longo de ""Inteligência da Conta"" (Dores de RH, Fontes, Histórico e Notícias).
* *DoR:* Bloco de Estrutura da conta finalizado.
* *DoD:* Seção 2 funcional, garantindo que textos longos (notas de inteligência) fiquem legíveis e bem formatados no Tableau.",,,,,,,0,,Pronto para Iniciar,5,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6625,,CRM Ajuda - Semana 1,,,,,,,,The Office,,,,,,,,,,0,,Em andamento,5,Raphael Fonseca Rodrigues dos Santos,,High,,,,0,,,,,
Task,RVO-6624,,"Desenvolvimento do Bloco ""Estrutura da Conta""",RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Construir a seção ""1 Estrutura da conta"". Isso engloba o cabeçalho principal (Receita, Volume, Potencial, Status), o bloco de ""Dados da Conta"", ""Produtos Salesforce"" e a matriz ""White Space Gupy"". Deve incluir também os cards detalhados dos Stakeholders (Decisores e Influenciadores) com foto, contatos e histórico.
* *DoR:* Métricas base construídas (RVO-6630 concluída).
* *DoD:* Bloco visualmente idêntico ao protótipo, com filtros e links externos (LinkedIn/Site) operacionais.",,,,,,,0,,Pronto para Iniciar,6,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6623,,Mapeamento de Fontes de Dados e Integração,RVO-6622,,04/05/2026,12/05/2026,,Vendas,,The Office,,,"* *Descrição:* Conectar e estruturar as fontes de dados necessárias para alimentar o dashboard. Isso inclui buscar dados da conta, contatos, histórico de atendimento (CS), pipeline e campos de inteligência no CRM (Salesforce/Hubspot) e nas bases financeiras.
* *DoR:* Acessos liberados às bases de dados (BigQuery/CRM) e mapeamento dos campos necessários finalizado.
* *DoD:* Fontes de dados unificadas, tratadas e publicadas no Tableau Server/Cloud prontas para consumo.",,,,,,,0,,Pronto para Iniciar,5,Williane Fernandes,,Medium,RVO-6622,,,0,,,,,
Task,RVO-6621,,Configuração de Bundle - Campanhas,RVO-4922,,07/05/2026,08/05/2026,,,,The Office,,,"*Descrição da atividade:*

* Ajuste na regra de desconto via bundle para campanha



*O que é preciso para iniciar a tarefa ? (Definition of Ready)*

* Disponibilizar 



*O que deve ser entregue? (Definition of Done)*

* À definir.",,,,,,,0,,BACKLOG,8,Raphael Fonseca Rodrigues dos Santos,,High,RVO-4922,,,0,,,,,
Task,RVO-6615,,Criação do modelo de RLS (Row Level Security),RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Implementar filtros de segurança para que cada membro da equipe de Pré-vendas visualize apenas o seu próprio extrato, e gestores visualizem apenas seus liderados.
* *DoR:* Dashboard de extrato finalizado e tabela de hierarquia/usuários de Pré-vendas mapeada.
* *DoD:* Testes de personificação concluídos, garantindo vazamento zero de dados sensíveis entre usuários.",,,,,,,0,,Pronto para Iniciar,2,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6614,,Construção do extrato de RV (Dashboard),RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Desenvolver a interface visual do extrato de pagamento para o pré-vendedor, garantindo clareza nos atingimentos, deduções, exceções e valor final a receber.
* *DoR:* Cálculos de RV implementados no Tableau (Task 5 concluída).
* *DoD:* Dashboard de extrato construído, formatado conforme identidade visual e aprovado pelos _stakeholders_.",,,,,,,0,,Pronto para Iniciar,6,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6613,,Construção e implementação do cálculo de RV no Tableau,RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Criar os campos calculados, métricas de atingimento, aceleradores e multiplicadores de salário específicos das regras de Pré-vendas dentro do Tableau.
* *DoR:* Bases de dados integradas (Task 4 concluída) e regras de negócio mapeadas.
* *DoD:* Todos os cálculos refletindo os valores corretos quando comparados a simulações ou fechamentos anteriores.",,,,,,,0,,Pronto para Iniciar,8,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6612,,Consulta e integração das bases de dados para RV de Pré-vendas,RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Criar as consultas (SQL) e conectar as bases de dados necessárias (CRM, BQ G&G, base de salários liberada pelo Rafael) ao Tableau.
* *DoR:* Acessos aos bancos de dados concedidos e tabelas de exceções/campanhas finalizadas.
* *DoD:* Fonte de dados (Data Source) unificada, tratada, publicada no Tableau Server/Cloud e atualizando corretamente.",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6611,,Estruturação da Tabela de campanhas para contabilização de RV,RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Mapear e estruturar os dados de campanhas pontuais (SPIFFs, bônus extras) que impactam a remuneração da equipe de Pré-vendas.
* *DoR:* Regras de campanhas ativas ou previstas detalhadas pela gestão de Pré-vendas.
* *DoD:* Tabela de campanhas criada e base de dados disponibilizada para cruzamento no Tableau.",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6610,,Estruturação da tabela de exceções (Pré-vendas),RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Estruturar, em conjunto com os responsáveis (ex: Marcela), a tabela que receberá os ajustes manuais, exceções ou contestações da equipe de Pré-vendas.
* *DoR:* Definição clara de quais tipos de exceções ocorrem na RV de Pré-vendas.
* *DoD:* Tabela de exceções criada (banco de dados ou Google Sheets integrado) e pronta para ser consumida pelo Tableau.",,,,,,,0,,Pronto para Iniciar,2,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Task,RVO-6609,,Estudar modelo de Bases/Extratos atuais de Pré-vendas,RVO-6608,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"* *Descrição da atividade:* Analisar as planilhas, bases de dados e modelos de extratos que são enviados hoje para a equipe de Pré-vendas (ex: modelo enviado pela Priscila Pereira) para entender a lógica atual.
* *DoR:* Ter acesso aos arquivos de histórico e planilhas de RV do último ciclo de Pré-vendas.
* *DoD:* Mapeamento concluído com as fontes de dados identificadas e as lógicas de cálculo documentadas para replicação no Tableau.",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6608,,,0,,,,,
Epic,RVO-6608,,Construção do Cálculo de RV de Pré-vendas no Tableau,,,11/05/2026,15/05/2026,,Vendas,,The Office,,,"*Descrição da atividade:* Desenvolver o cálculo de Remuneração Variável (RV) exclusivo para a equipe de Pré-vendas no Tableau. Este projeto envolve a apuração de resultados (agendamentos, qualificações, conversões, etc.), a criação de tabelas multiplicadoras/aceleradores de salários, construção do extrato individual, aplicação de segurança de dados (RLS) e automação de disparos para a equipe de pré-vendas.

*O que é preciso para iniciar a tarefa? (Definition of Ready - DoR):*

* Regras de negócio e métricas de remuneração variável da equipe de Pré-vendas documentadas e aprovadas pela liderança.
* Acessos liberados às bases de dados necessárias (ex: BQ G&G) e à base de salários (com aprovações de segurança/RH).
* Modelos de extratos e planilhas utilizadas atualmente (legado) mapeados e disponibilizados.

*O que deve ser entregue? (Definition of Done - DoD):*

* Cálculo de RV de Pré-vendas implementado com precisão e validado contra o modelo legado.
* Dashboards de extratos individuais criados e formatados no Tableau.
* Segurança a Nível de Linha (RLS) garantindo que cada pré-vendedor veja apenas seus dados.
* Disparos automáticos dos extratos configurados e funcionando sem falhas.
* Documentação do processo concluída.",,,,,,,0,To Do,BACKLOG,,Williane Fernandes,,Medium,,,,0,,,,,
Sub-task,RVO-6605,,Agenda 3: Tableau Prep e Pulse,,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,1,Lana Reis,,Medium,RVO-6602,,,0,,,,,
Sub-task,RVO-6604,,Agenda 2: Tableau Desktop e Cloud,,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,1,Lana Reis,,Medium,RVO-6602,,,0,,,,,
Sub-task,RVO-6603,,Agenda 1: Principais Dashboards,,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,1,Lana Reis,,Medium,RVO-6602,,,0,,,,,
Task,RVO-6602,,Onboarding Tableau - João Rezende,RVO-105,,11/05/2026,13/05/2026,,RevOps,,The Office,,,"Agendas com o João de apresentação ao ecossistema Tableau e nossos materiais em produção:

* Principais dashboards
* Tableau Desktop
* Tableau Cloud
* Tableau Prep
* Tableau Pulse

A entrega será a conclusão das agendas planejadas.",,,,,,,0,,BACKLOG,3,Lana Reis,,Medium,RVO-105,,,0,,,,,
Sub-task,RVO-6601,,Auditoria de Horas,,,05/05/2026,07/05/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,6,Lana Reis,,Medium,RVO-6560,,,0,,,,,
Sub-task,RVO-6600,,Horas e Atividades,,,05/05/2026,06/05/2026,,,,The Office,,,,,,,,,,0,,Em andamento,6,Lana Reis,,Medium,RVO-6560,,,0,,,,,
Sub-task,RVO-6599,,Pipeline & Funil,,,04/05/2026,05/05/2026,,,,The Office,,,,,,,,,,0,,Concluído,6,Lana Reis,,Medium,RVO-6560,,,0,05/05/2026 13:38:04,,,,
Sub-task,RVO-6597,,Vendas - Meetrox - Ajuste do tamanho do campo Cliente testará concorrentes,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,3",Tiago Neves,,Medium,RVO-6591,,,0,04/05/2026 16:00:27,,,,
Sub-task,RVO-6596,,CS - Analisar dashboard da Adriana,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,5",Tiago Neves,,Medium,RVO-6591,,,0,04/05/2026 15:36:28,,,,
Sub-task,RVO-6595,,CE - Renovações - EroBrasil,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,2",Tiago Neves,,Medium,RVO-6592,,,0,04/05/2026 15:23:33,,,,
Sub-task,RVO-6594,,CE - Beep Saúde,,,,,,,,The Office,,,,,,,,,,0,,Concluído,"0,5",Tiago Neves,,Medium,RVO-6592,,,0,04/05/2026 15:16:57,,,,
Task,RVO-6592,,Erros e ajustes de integração,RVO-129,,04/05/2026,15/05/2026,,RevOps,,The Office,,,São os erros de integração e ajustes que precisam ser feitos e analisado,,,,,,,0,,Em andamento,6,Tiago Neves,,Highest,RVO-129,,,0,,,,,
Task,RVO-6591,,Governança CRM,RVO-129,,04/05/2026,15/05/2026,,RevOps,,The Office,,,Aqui são todos os pedidos de ajuda de times que solicitam através do Slack ou por outros meios.,,,,,,,0,,Em andamento,6,Tiago Neves,,Medium,RVO-129,,,0,,,,,
Task,RVO-6590,,Incluir um co-responsável na tarefa e subtarefa,RVO-5054,,,,,CSM,,The Office,,,"h2. Descrição da atividade

* Ajustar o código para ser possível adicionar um co-reponsável na tarefa e na subtarefa.

h2. O que é preciso para iniciar a tarefa ? (Definition of Ready)

* 

h2. O que deve ser entregue? (Definition of Done)

* Possibilidade de adiciona um co-responsável na tarefa e subtarefa.

----",,,,,,,0,,BACKLOG,6,Tiago Neves,,Medium,RVO-5054,,,0,,,,,
Task,RVO-6589,,Incluir opção de selecionar cliente como responsável da tarefa e subtarefa,RVO-5054,,,,,CSM,,The Office,,,"h2. Descrição da atividade

* Alterar o código para deixar disponível a opção de alocar o cliente como responsável da tarefa e da subtarefa.

h2. O que é preciso para iniciar a tarefa ? (Definition of Ready)

* 

h2. O que deve ser entregue? (Definition of Done)

* Código ajustado e funcional da opção de selecionar cliente.

----",,,,,,,0,,BACKLOG,6,Tiago Neves,,Medium,RVO-5054,,,0,,,,,
Task,RVO-6587,,P2 - Ajustar macros e micros do Agente de CH,RVO-4920,,,,,CH,,The Office,,,"h2. Descrição da atividade

* Ajustar o macro e o micro dos que estão como P1
* Testar elas e depois subir pra produção as que foram validadas.

h2. O que é preciso para iniciar a tarefa ? (Definition of Ready)

* 

h2. O que deve ser entregue? (Definition of Done)

* Planilha com os dados testados e validados pela amanda

----",,,,,,,0,,BACKLOG,6,Tiago Neves,,Highest,RVO-4920,,,0,,,,,
Task,RVO-6586,,P1 - Ajustar macro do Agente de CH,RVO-4920,,,,,CH,,The Office,,,"h2. Descrição da atividade

* Ajustar o macro e o micro dos que estão como P1
* Testar elas e depois subir pra produção as que foram validadas.

h2. O que é preciso para iniciar a tarefa ? (Definition of Ready)

* 

h2. O que deve ser entregue? (Definition of Done)

* Planilha com os dados testados e validados pela amanda

----",,,,,,,0,,BACKLOG,6,Tiago Neves,,Highest,RVO-4920,,,0,,,,,
Task,RVO-6584,,Analisar problema no Trial de módulos após ganho de oportunidade,RVO-129,,,13/05/2026,,Vendas,,The Office,,,"h2. Descrição da atividade

* O Bug é o seguinte: 
Quando um Trial é aprovado ele tem uma vida útil para ficar na central de empresas. 
Mas se tiver uma negociação acontecendo e o cliente contratar o módulo por definitivo, quando chega na data final do Trial do módulo desativa a funcionalidade na Central de Empresas

h2. O que é preciso para iniciar a tarefa ? (Definition of Ready)

* Analisar o documento atual;

h2. O que deve ser entregue? (Definition of Done)

* Automação ajustada

----",,,,,,,0,,BACKLOG,4,Tiago Neves,,Highest,RVO-129,,,0,,,,,
Task,RVO-6580,,Ajuste das descrições de macro motivos e micro motivos de TA - P0,RVO-4920,,29/04/2026,08/05/2026,,CH,,The Office,,,"Planilha onde tem as descrições novas

[https://docs.google.com/spreadsheets/d/1-DBD1_oeiAnGAcUy_58utAbh6ps2S9i9X_Z352ZCaGc/edit?pli=1&gid=1279265627#gid=1279265627|https://docs.google.com/spreadsheets/d/1-DBD1_oeiAnGAcUy_58utAbh6ps2S9i9X_Z352ZCaGc/edit?pli=1&gid=1279265627#gid=1279265627|smart-link] 

----

Para cada uma testar para entender como ela se comporta na classificação.",,,,,,,0,,Em andamento,5,Tiago Neves,,Highest,RVO-4920,,,0,,,,,
Task,RVO-6576,,Validação - Dash Arquitetura de Soluções,RVO-105,,06/05/2026,07/05/2026,,Arquitetura,,The Office,,,"Reuniões de validação do dashboard.

A entrega será o dashboard publicado em ambiente de produção.",,,,,,,0,,BACKLOG,2,Lana Reis,,Medium,RVO-105,,,0,,,,,
Task,RVO-6573,,Base de Conhecimento (atualizar conteúdo ou criar nova página),RVO-5025,,,,,,,The Office,,,"O time de compras precisa receber pedidos/solicitações para coffee break com 48h de antecedência e precisa de aprovação de FP&A.  Não há nenhuma informação a respeito do processo de solicitação. quando um CSM precisa receber um cliente presencial, não sabemos o caminho correto: precisa acionar a liderança? não precisa? quem precisa aprovar? onde e como solicitar? na ausência  da liderança (exemplo: férias) quem pode responder pela liderança?",,,,,,,0,,BACKLOG,1,Taina Labarba,,Medium,RVO-5025,,,0,,,,,
Task,RVO-6566,,Dados do produto de TA e TM,RVO-5450,,28/04/2026,08/05/2026,,RevOps,,The Office,,,Começar a puxar dados dos produtos.,,,,,,,0,,Em andamento,3,Tiago Neves,,Medium,RVO-5450,,,0,,,,,
Task,RVO-6560,,Construção das páginas - Dash Arquitetura de Soluções,RVO-105,,29/04/2026,07/05/2026,,Arquitetura,,The Office,,,"Construção das páginas do dashboard de Arquitetura de Soluções.

A entrega será o dashboard em ambiente de homologação para validação da área.",,,,,,,0,,Em andamento,18,Lana Reis,,Medium,RVO-105,,,0,,,,,
Task,RVO-6554,,[Carteirização] - Organização da Reunião de acompanhamento de Carteiras,RVO-24,,,,,,,The Office,,,,,,,,,,0,,Em refinamento,4,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Task,RVO-6553,,[Carteirização] - Alteração de Tempo de Posse,RVO-24,,,,,,,The Office,,,,,,,,,,0,,Pronto para Iniciar,1,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Task,RVO-6552,,[Carteirização] - Revisão da documentação e Processos,RVO-24,,07/05/2026,20/05/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,2,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Task,RVO-6551,,[Carteirização] - Revisão de Carteira e Metas,RVO-24,,05/05/2026,18/05/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,8,Gabriel Pires,,Medium,RVO-24,,,0,,,,,
Story,RVO-6546,,Atualizar contas no SF sem domínio,RVO-129,,,07/05/2026,,,,The Office,,,"Configurar as contas no SF que estão sem domínio, puxar os domínios mais predominantes e atualizar
[https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000n4ynsUAA/view?queryScope=userFolders|https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000n4ynsUAA/view?queryScope=userFolders|smart-link] 
[https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000n4bcgUAA/view?queryScope=userFolders|https://gupy.lightning.force.com/lightning/r/Report/00ObJ00000n4bcgUAA/view?queryScope=userFolders|smart-link] ",,,,,,,0,,Em andamento,3,david oliveira soares,,Medium,RVO-129,,,0,,,,,
Task,RVO-6522,,Documentação do processo,RVO-6510,,23/04/2026,06/05/2026,,,,The Office,,,"h3. Resumo

Construir a documentação do dashboard e do processo no Tableau.

h3. Contexto

N/A

h3. Critérios de aceitação

* Documentação do dashboard no Tableau.
* Documentação do processo no Tableau.

h3. Outras informações

N/A",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6510,,,0,,,,,
Task,RVO-6521,,Comunicação a equipe de vendas,RVO-6510,,,,,,,The Office,,,"h3. Resumo

Realizar plano de comunicaçao com o time de rv + gc para falar sobre as mudanças à equipe de vendas.

h3. Outras informações

N/A",,,,,,,0,,Pronto para Iniciar,3,Williane Fernandes,,Medium,RVO-6510,,,0,,,,,
Task,RVO-6519,,Validação dos resultados e testes de ponta a ponta,RVO-6510,,23/04/2026,06/05/2026,,,,The Office,,,"Realizar testes completos de ponta a ponta para validar o cálculo, extrato, automações e integrações, garantindo que todos os critérios de sucesso sejam atendidos.",,,,,,,0,,Em andamento,4,Williane Fernandes,,Medium,RVO-6510,,,0,,,,,
Epic,RVO-6510,,Construção do Cálculo de RV de Vendas no Tableau,,,23/04/2026,04/05/2026,,,,The Office,,,"h3. Objetivo

Desenvolver o cálculo de remuneração variável no Tableau.

h3. Contexto

Este projeto envolve a apuração de resultados e a criação de uma tabela multiplicadora de salários. Também inclui a construção de um extrato e a automação de disparos para a equipe de vendas.

h3. Escopo

* Inclusões:
** Cálculo de remuneração variável.
** Tabela multiplicadora de salários.
** Construção do extrato.
** Disparos automáticos para a equipe de vendas.
** Estruturação da tabela de exceções com a Marcela.
** Criação de campanhas para rastreamento e contabilização.
* Exclusões:
** N/A

h3. Critérios de sucesso

* Cálculo de remuneração variável implementado com precisão.
* Tabela multiplicadora de salários funcionando corretamente.
* Extrato gerado conforme esperado.
* Disparos automáticos realizados sem falhas.
* Tabela de exceções e campanhas estruturadas adequadamente.

h3. Riscos e dependências

* Dependência de colaboração com a Marcela para a tabela de exceções e envio dos modelos de arquivos que sao disparados hoje pela Priscila Pereira.
* Liberação do Rafael a base de salários para cálculo no usuário disponibilizado para conexao tableau <> BQ G&G.
* Risco de atrasos na implementação se houver falta de dados.

h3. Outras informações

Materiais de remuneração variável serão criados no Tableau.",,,,,,,0,To Do,BACKLOG,,Williane Fernandes,,Medium,,,,0,,,,,
Task,RVO-6504,,Melhorias Agente CS,RVO-105,,08/05/2026,13/05/2026,,CSM,,The Office,,,"Acrescentar ao contexto os planos de ação.

Pegar feedback dos CSM’s que estão testando e aprimorar o prompt de acordo com a devolutiva deles.

A entrega será o agente de CS em ambiente de produção.",,,,,,,0,,BACKLOG,8,Lana Reis,,Medium,RVO-105,,,0,,,,,
Task,RVO-6502,,[ECONOMICS] - Melhorias no acompanhamento,RVO-1182,,,,,,,The Office,,,,,,,,,,0,,Pronto para Iniciar,4,Gabriel Pires,,Medium,RVO-1182,,,0,,,,,
Task,RVO-6477,,Validação automated process,RVO-129,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,3,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6475,,Criação de novo fluxo de pausas para PB de PMO,RVO-129,,,,,,,The Office,,,,,,,,,,0,,Em refinamento,4,Alan Dantas Bernardo,,Medium,RVO-129,,,0,,,,,
Task,RVO-6463,,Ajustes e Testes - Fluxo PP,RVO-129,,23/04/2026,08/05/2026,,,,The Office,,,"*RESUMO*

As otimizações cobrem dois eixos principais:

*UX e interação*

* Respostas de seleção mudam de digitação de números para cards interativos, reduzindo fricção e risco de abandono no fluxo.

*Copywriting e tom de voz*

* Tom geral: saída da linguagem burocrática e formal para um tom mais humano e conversacional. Ex: ""Agradecemos o seu interesse"" → ""Que bom ter você aqui.""
* Terminologia de IA: ocorrências de ""inteligência artificial"" e ""IA"" substituídas por ""Agentes de IA"", conforme nomenclatura oficial da marca.
* Glossário: ""funcionários"" → ""pessoas colaboradoras""; ""talentos"" → ""pessoas colaboradoras"".
* Mensagem de e-mail inválido: versão anterior soava robótica e acusatória. Nova versão orienta sem constranger.
* Gramática: ""empresa que você trabalha"" → ""empresa em que você trabalha"".
* Padronização de cargos: sem espaço antes dos parênteses em toda a lista. Ex: ""Coordenador (a)"" → ""Coordenador(a)"".
* Fluidez geral: ajustes de ritmo em todas as mensagens para soar mais natural.",,,,,,,0,,Em andamento,5,Iago Jants David,,Medium,RVO-129,,,0,,,,,
Task,RVO-6460,,Capacitação IA,RVO-4966,,20/04/2026,30/04/2026,,,,The Office,,,"📝 *Descrição da atividade*

* Estratégia de certificação sobre IA para operação Comercial e de CS

🧩 *O que é preciso para iniciar a tarefa ? (Definition of Ready)*

* N/A

🏆 *O que deve ser entregue? (Definition of Done)*

* Definição da estrutura, tempos e formatos.",,,,,,,0,,BACKLOG,2,Heloisa Spigolon,,Medium,RVO-4966,,,0,,,,,
Task,RVO-6457,,Lançamento IAra,RVO-4965,,20/04/2026,30/04/2026,,,,The Office,,,"📝 *Descrição da atividade*

* Preparação do que falta para que a IAra seja lançada para a Operação.

🧩 *O que é preciso para iniciar a tarefa ? (Definition of Ready)*

* Aguardando Xavier/Turri

🏆 *O que deve ser entregue? (Definition of Done)*

* Entrada nas agendas dos times - alinhar com lideranças",,,,,,,0,,Em andamento,5,Heloisa Spigolon,,Highest,RVO-4965,,,0,,,,,
Task,RVO-6438,,Jornada Ágil - Preço de Integração distinto,RVO-129,,05/05/2026,05/05/2026,,,,The Office,,,"*Descrição da atividade:*

Criar campo dentro do Dealhub e ajustar assignment e pricing rule dos itens one shot de integração.



*O que é preciso para iniciar a tarefa ? (Definition of Ready)*

Regra definida:[https://docs.google.com/spreadsheets/d/1XtL5M6OMThDLff-JsaWZgAAikkaPapUCBqv_OPG6Fhw/edit?gid=0#gid=0|https://docs.google.com/spreadsheets/d/1XtL5M6OMThDLff-JsaWZgAAikkaPapUCBqv_OPG6Fhw/edit?gid=0#gid=0]



*O que deve ser entregue? (Definition of Done)*

Produtos configurados no Dealhub.",,,,,,,0,,Em andamento,2,Raphael Fonseca Rodrigues dos Santos,,Highest,RVO-129,,,0,,,,,
Task,RVO-6335,,Cloud run Job,RVO-4965,,13/04/2026,16/04/2026,,,,The Office,,,,,,,,,,0,,BACKLOG,18,Luis Bueno,,Medium,RVO-4965,,,0,,,,,
Task,RVO-6238,,Alteração do processo de Equipe do Negócio,RVO-129,,05/05/2026,05/05/2026,,,,The Office,,,"*Descrição da atividade:*

Ajuste de regra que permita mais de um papel de estratégia de relacionamento na equipe do negócio.



*O que é preciso para iniciar a tarefa ? (Definition of Ready)*

N/A



*O que deve ser entregue? (Definition of Done)*

Ajuste de regra que permita mais de um papel de estratégia de relacionamento na equipe do negócio.",,,,,,,0,,Em andamento,2,Raphael Fonseca Rodrigues dos Santos,,Highest,RVO-129,,,0,,,,,
Task,RVO-6237,,Estudo de Alavancas de Crescimento - P1A,RVO-5317,,24/03/2026,15/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Analisar as alavancas de crescimento com base em Q1, decompondo drivers de receita e projetando impacto no H1.

----

h3. 🎯 Impacto esperado

Clareza das principais alavancas de crescimento e impacto no atingimento da receita de H1.

----

h3. ✅ Pronto quando...

* Drivers de receita (oportunidades, conversão, ticket) analisados com impacto quantificado
* Impacto no atingimento da receita de H1 projetado
* Principais alavancas de crescimento identificadas
* Recomendações objetivas definidas e documentadas (material atualizado)",,,,,,,0,,Pronto para Iniciar,6,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6232,,Análise de GAP e impactos - P1A,RVO-5317,,24/03/2026,15/05/2026,,,,The Office,,,"h3. ⚙️ O que precisa ser feito?

Analisar o GAP de Q1 vs orçamento, decompondo em oportunidades, conversão e ticket médio, e projetar impacto no ano.

----

h3. 🎯 Impacto esperado

Clareza dos desvios de Q1 e projeção de risco/atingimento da meta anual.

----

h3. ✅ Pronto quando...

* GAP de Q1 calculado (absoluto e %)
* Drivers decompostos com impacto quantificado
* Projeção anual consolidada",,,,,,,0,,Pronto para Iniciar,6,Marcela Pontes de Mendonça,,Medium,RVO-5317,,,0,,,,,
Task,RVO-6158,,Verificar Schema Trino,RVO-105,,,,,,,The Office,,,,,,,,,,0,,BACKLOG,,Williane Fernandes,,Medium,RVO-105,,,0,,,,,
